date,open,high,low,close,volume,Name
2010-03-17,15440,15960,15420,15960,21857600,삼성전자
2010-03-18,15900,16140,15900,15940,15399750,삼성전자
2010-03-19,16020,16140,15960,16080,10724600,삼성전자
2010-03-22,16060,16080,15840,16020,9213200,삼성전자
2010-03-23,16140,16300,16100,16180,9932600,삼성전자
2010-03-24,16300,16500,16260,16380,15945800,삼성전자
2010-03-25,16300,16440,16180,16380,9497900,삼성전자
2010-03-26,16460,16500,16240,16400,10490100,삼성전자
2010-03-29,16200,16500,16200,16360,7783950,삼성전자
2010-03-30,16540,16580,16240,16280,12046700,삼성전자
2010-03-31,16280,16680,16260,16360,21715000,삼성전자
2010-04-01,16520,16900,16480,16900,28082950,삼성전자
2010-04-02,16920,17200,16820,17140,20953450,삼성전자
2010-04-05,17220,17400,17140,17400,15225800,삼성전자
2010-04-06,17480,17500,17220,17380,16514350,삼성전자
2010-04-07,17300,17380,17040,17180,19434000,삼성전자
2010-04-08,17140,17260,17060,17260,13466350,삼성전자
2010-04-09,17280,17320,16960,17120,13789450,삼성전자
2010-04-12,17180,17200,16540,16600,24897000,삼성전자
2010-04-13,16680,16680,16300,16560,20455700,삼성전자
2010-04-14,16700,16940,16660,16900,15424950,삼성전자
2010-04-15,17240,17240,16880,17100,18255200,삼성전자
2010-04-16,17100,17160,16820,16960,11005600,삼성전자
2010-04-19,16740,16800,16520,16540,12368800,삼성전자
2010-04-20,16540,16640,16420,16560,13594100,삼성전자
2010-04-21,16760,17060,16700,17040,13212700,삼성전자
2010-04-22,16980,16980,16660,16820,17177850,삼성전자
2010-04-23,16960,16960,16560,16600,15471800,삼성전자
2010-04-26,16700,16840,16600,16680,13030400,삼성전자
2010-04-27,16620,16760,16540,16700,13049800,삼성전자
2010-04-28,16400,16500,16360,16500,16019650,삼성전자
2010-04-29,16600,16620,16320,16500,11346550,삼성전자
2010-04-30,16560,17040,16540,16980,22733400,삼성전자
2010-05-03,16900,16900,16540,16580,14572250,삼성전자
2010-05-04,16800,16860,16600,16680,9172800,삼성전자
2010-05-06,16340,16380,16200,16280,22588250,삼성전자
2010-05-07,15960,15980,15760,15880,37961250,삼성전자
2010-05-10,16000,16100,15940,16060,16529100,삼성전자
2010-05-11,16240,16240,15820,15820,22532900,삼성전자
2010-05-12,15940,15960,15640,15780,15790450,삼성전자
2010-05-13,15960,16400,15940,16260,15973050,삼성전자
2010-05-14,16120,16240,15980,16200,14692000,삼성전자
2010-05-17,15960,15980,15560,15680,26529900,삼성전자
2010-05-18,15800,15900,15680,15840,18169250,삼성전자
2010-05-19,15700,15700,15380,15460,18058550,삼성전자
2010-05-20,15300,15440,15100,15120,19790300,삼성전자
2010-05-24,14940,15280,14880,15160,17723750,삼성전자
2010-05-25,15000,15120,14720,14820,25581300,삼성전자
2010-05-26,15200,15380,14900,15000,23002650,삼성전자
2010-05-27,14880,15500,14820,15440,22212050,삼성전자
2010-05-28,15740,15740,15340,15560,22546250,삼성전자
2010-05-31,15440,15620,15360,15520,12791100,삼성전자
2010-06-01,15520,15580,15300,15360,11405850,삼성전자
2010-06-03,15600,15680,15480,15540,14666350,삼성전자
2010-06-04,15500,15940,15480,15860,12614000,삼성전자
2010-06-07,15580,15740,15540,15740,15166400,삼성전자
2010-06-08,15700,15960,15520,15700,14522450,삼성전자
2010-06-09,15840,15840,15320,15400,17985800,삼성전자
2010-06-10,15540,15600,15420,15460,17814300,삼성전자
2010-06-11,15700,15940,15660,15940,18313750,삼성전자
2010-06-14,15820,16180,15820,16140,12099050,삼성전자
2010-06-15,16200,16200,15960,15960,9539000,삼성전자
2010-06-16,16300,16440,16180,16380,18827650,삼성전자
2010-06-17,16240,16340,16200,16340,11669500,삼성전자
2010-06-18,16500,16500,16240,16440,9593600,삼성전자
2010-06-21,16600,16780,16500,16600,14239500,삼성전자
2010-06-22,16540,16540,16260,16320,14820850,삼성전자
2010-06-23,16220,16220,16000,16100,17501550,삼성전자
2010-06-24,16160,16460,16100,16400,14157200,삼성전자
2010-06-25,16180,16200,16040,16100,17011500,삼성전자
2010-06-28,16100,16160,15920,15920,13060450,삼성전자
2010-06-29,16020,16080,15740,15840,12589300,삼성전자
2010-06-30,15400,15600,15400,15480,26820300,삼성전자
2010-07-01,15580,15600,15200,15320,22225800,삼성전자
2010-07-02,15400,15480,15260,15340,11656400,삼성전자
2010-07-05,15260,15400,15220,15340,10030950,삼성전자
2010-07-06,15240,15500,15100,15500,17919400,삼성전자
2010-07-07,15600,15620,15300,15380,16207800,삼성전자
2010-07-08,15660,15680,15400,15500,14777650,삼성전자
2010-07-09,15580,15920,15460,15920,18628950,삼성전자
2010-07-12,15980,16040,15840,16040,12603250,삼성전자
2010-07-13,15960,16160,15880,15920,15359450,삼성전자
2010-07-14,16260,16560,16260,16480,33204550,삼성전자
2010-07-15,16500,16500,16360,16400,16075400,삼성전자
2010-07-16,16320,16400,16040,16040,16940500,삼성전자
2010-07-19,15720,15980,15720,15900,14605350,삼성전자
2010-07-20,15900,16040,15720,15960,11586100,삼성전자
2010-07-21,16340,16360,16120,16340,16585300,삼성전자
2010-07-22,16240,16340,16020,16160,15476050,삼성전자
2010-07-23,16300,16340,16140,16220,14123600,삼성전자
2010-07-26,16260,16400,16180,16360,10631350,삼성전자
2010-07-27,16480,16600,16420,16580,19143850,삼성전자
2010-07-28,16640,16800,16620,16740,23259950,삼성전자
2010-07-29,16780,16800,16480,16540,14873600,삼성전자
2010-07-30,16440,16540,16200,16200,16441200,삼성전자
2010-08-02,16340,16360,16200,16200,12469400,삼성전자
2010-08-03,16400,16440,16300,16300,13115100,삼성전자
2010-08-04,16340,16360,16120,16120,10671700,삼성전자
2010-08-05,16220,16360,16060,16080,14044850,삼성전자
2010-08-06,16200,16200,15980,16020,12358250,삼성전자
2010-08-09,15980,16040,15960,16040,9146100,삼성전자
2010-08-10,16000,16080,15820,15860,14079450,삼성전자
2010-08-11,15680,15780,15540,15580,17998400,삼성전자
2010-08-12,15360,15540,15300,15320,21417850,삼성전자
2010-08-13,15400,15640,15340,15620,14335300,삼성전자
2010-08-16,15460,15660,15340,15640,10286650,삼성전자
2010-08-17,15540,15660,15420,15640,14480400,삼성전자
2010-08-18,15680,15700,15480,15560,11726100,삼성전자
2010-08-19,15580,15780,15540,15780,12206700,삼성전자
2010-08-20,15600,15720,15540,15680,12334500,삼성전자
2010-08-23,15720,15820,15640,15800,9097300,삼성전자
2010-08-24,15700,15720,15500,15660,11378450,삼성전자
2010-08-25,15520,15560,15440,15440,9288450,삼성전자
2010-08-26,15440,15660,15400,15460,10445650,삼성전자
2010-08-27,15300,15440,15300,15320,12808800,삼성전자
2010-08-30,15500,15560,15440,15520,7005850,삼성전자
2010-08-31,15320,15440,15120,15120,22082150,삼성전자
2010-09-01,15240,15260,15000,15040,19465400,삼성전자
2010-09-02,15200,15240,14980,15180,18277550,삼성전자
2010-09-03,15220,15280,15120,15220,22097100,삼성전자
2010-09-06,15440,15600,15360,15600,19730050,삼성전자
2010-09-07,15660,15800,15500,15760,16040150,삼성전자
2010-09-08,15520,15620,15420,15420,10974100,삼성전자
2010-09-09,15340,15480,15120,15120,30874400,삼성전자
2010-09-10,15200,15440,15140,15320,14013750,삼성전자
2010-09-13,15400,15520,15320,15400,11742550,삼성전자
2010-09-14,15500,15620,15200,15200,18576500,삼성전자
2010-09-15,15260,15340,15020,15140,19464450,삼성전자
2010-09-16,15080,15260,15080,15140,11740750,삼성전자
2010-09-17,15240,15560,15160,15460,22382450,삼성전자
2010-09-20,15480,15600,15400,15600,14822600,삼성전자
2010-09-24,15580,15600,15160,15240,32788150,삼성전자
2010-09-27,15300,15360,15040,15100,25142750,삼성전자
2010-09-28,15100,15120,14900,14900,23365000,삼성전자
2010-09-29,15060,15500,15000,15440,35443200,삼성전자
2010-09-30,15440,15580,15340,15540,16862900,삼성전자
2010-10-01,15440,15560,15380,15540,14818300,삼성전자
2010-10-04,15600,15620,15480,15600,12879700,삼성전자
2010-10-05,15440,15580,15420,15460,14348850,삼성전자
2010-10-06,15560,15880,15520,15860,23555150,삼성전자
2010-10-07,15580,15660,15380,15400,25570500,삼성전자
2010-10-08,15260,15320,15060,15160,27170500,삼성전자
2010-10-11,15240,15260,15060,15060,18801600,삼성전자
2010-10-12,15040,15120,14920,14920,18521100,삼성전자
2010-10-13,15040,15040,14860,14880,20451450,삼성전자
2010-10-14,15060,15060,14840,15000,26762450,삼성전자
2010-10-15,15000,15120,14900,15080,24711150,삼성전자
2010-10-18,15140,15240,14960,15020,13831750,삼성전자
2010-10-19,15000,15020,14820,14820,19498200,삼성전자
2010-10-20,14800,14980,14700,14900,18490450,삼성전자
2010-10-21,14900,15300,14820,15300,28382200,삼성전자
2010-10-22,15460,15540,15340,15540,20425550,삼성전자
2010-10-25,15460,15580,15340,15420,12416450,삼성전자
2010-10-26,15360,15420,15160,15260,15633700,삼성전자
2010-10-27,15160,15300,15020,15060,16740550,삼성전자
2010-10-28,15200,15300,15060,15280,14654750,삼성전자
2010-10-29,15280,15300,14900,14900,23160200,삼성전자
2010-11-01,15060,15060,14860,14940,14848600,삼성전자
2010-11-02,14940,14960,14740,14800,16549950,삼성전자
2010-11-03,14800,14980,14780,14800,17965750,삼성전자
2010-11-04,14940,15280,14900,15260,27385750,삼성전자
2010-11-05,15600,15800,15500,15520,35187250,삼성전자
2010-11-08,15700,15760,15520,15560,13961400,삼성전자
2010-11-09,15680,15680,15340,15480,12814050,삼성전자
2010-11-10,15600,15800,15500,15800,21113550,삼성전자
2010-11-11,15860,15980,15340,15340,45367500,삼성전자
2010-11-12,15680,15800,15460,15560,28344450,삼성전자
2010-11-15,15720,16300,15700,16160,35954800,삼성전자
2010-11-16,16280,16400,16000,16220,29532550,삼성전자
2010-11-17,16020,16080,15900,15900,17134650,삼성전자
2010-11-18,15940,16100,15860,15980,13311800,삼성전자
2010-11-19,16160,16380,16000,16360,19369300,삼성전자
2010-11-22,16400,16960,16360,16960,36076800,삼성전자
2010-11-23,17000,17020,16680,16800,19744050,삼성전자
2010-11-24,16520,17040,16500,17020,31864350,삼성전자
2010-11-25,17060,17060,16760,16900,18359500,삼성전자
2010-11-26,16960,16980,16640,16740,15702950,삼성전자
2010-11-29,16700,16920,16620,16720,15514400,삼성전자
2010-11-30,16640,16920,16520,16520,21230800,삼성전자
2010-12-01,16480,16560,16280,16400,18793000,삼성전자
2010-12-02,16560,17180,16500,17180,30627550,삼성전자
2010-12-03,17400,17940,17340,17880,39446950,삼성전자
2010-12-06,17800,17980,17700,17800,16842700,삼성전자
2010-12-07,17740,18420,17700,18020,24925400,삼성전자
2010-12-08,18060,18200,17740,17760,16820900,삼성전자
2010-12-09,17700,18360,17680,18340,29482800,삼성전자
2010-12-10,18300,18380,18140,18380,12783400,삼성전자
2010-12-13,18380,18640,18320,18600,15362850,삼성전자
2010-12-14,18740,18740,18420,18580,22161150,삼성전자
2010-12-15,18500,18500,18200,18320,16466450,삼성전자
2010-12-16,18160,18380,18160,18220,11694250,삼성전자
2010-12-17,18280,18580,18240,18520,17306500,삼성전자
2010-12-20,18340,18640,18280,18640,16928000,삼성전자
2010-12-21,18620,18800,18500,18720,12606000,삼성전자
2010-12-22,18780,19060,18720,18780,16679550,삼성전자
2010-12-23,18720,18760,18500,18720,10993200,삼성전자
2010-12-24,18780,18780,18500,18500,8486650,삼성전자
2010-12-27,18500,18600,18300,18440,10533650,삼성전자
2010-12-28,18560,19000,18520,18760,15666150,삼성전자
2010-12-29,18700,19020,18640,18900,11926350,삼성전자
2010-12-30,18840,19040,18840,18980,9191550,삼성전자
2011-01-03,19100,19320,19000,19160,13278100,삼성전자
2011-01-04,19120,19220,18980,19160,13724400,삼성전자
2011-01-05,19100,19100,18840,18840,16811200,삼성전자
2011-01-06,18840,18980,18460,18600,19374400,삼성전자
2011-01-07,18300,18580,18280,18420,23172350,삼성전자
2011-01-10,18360,18560,18180,18340,18355350,삼성전자
2011-01-11,18340,18440,18160,18260,19562100,삼성전자
2011-01-12,18280,18660,18280,18600,20605350,삼성전자
2011-01-13,18980,18980,18340,18440,28404150,삼성전자
2011-01-14,18560,18680,18300,18660,15384700,삼성전자
2011-01-17,18900,19020,18800,18980,20587000,삼성전자
2011-01-18,19000,19620,18980,19380,29640800,삼성전자
2011-01-19,19580,20000,19320,19940,33416000,삼성전자
2011-01-20,19740,19800,19580,19640,15248500,삼성전자
2011-01-21,19520,19680,19400,19420,16690050,삼성전자
2011-01-24,19360,19660,19320,19420,13622750,삼성전자
2011-01-25,19440,19800,19420,19500,13979000,삼성전자
2011-01-26,19700,19980,19600,19960,13356400,삼성전자
2011-01-27,19900,20040,19820,19880,15374500,삼성전자
2011-01-28,19960,20280,19800,20200,19151050,삼성전자
2011-01-31,20180,20200,19620,19620,21442600,삼성전자
2011-02-01,19640,19900,19580,19660,13475900,삼성전자
2011-02-07,20040,20080,19440,19440,24259550,삼성전자
2011-02-08,19400,19480,19180,19220,30500200,삼성전자
2011-02-09,19460,19460,19020,19200,21015050,삼성전자
2011-02-10,19200,19300,18700,18720,30700100,삼성전자
2011-02-11,18700,18860,18260,18300,26544450,삼성전자
2011-02-14,18560,19100,18500,19060,19592600,삼성전자
2011-02-15,19260,19400,18940,19160,18109650,삼성전자
2011-02-16,19040,19400,18900,18900,15221900,삼성전자
2011-02-17,19060,19260,18860,19080,14350450,삼성전자
2011-02-18,19300,19320,19140,19200,10254850,삼성전자
2011-02-21,19280,19300,18840,18960,13768050,삼성전자
2011-02-22,18780,18960,18680,18760,12197300,삼성전자
2011-02-23,18500,18820,18500,18600,17207450,삼성전자
2011-02-24,18520,18680,18400,18580,18119600,삼성전자
2011-02-25,18560,18660,18460,18520,15198600,삼성전자
2011-02-28,18400,18680,18400,18460,16281150,삼성전자
2011-03-02,18280,18460,18240,18360,16139000,삼성전자
2011-03-03,18380,18540,18320,18460,18113850,삼성전자
2011-03-04,18680,18900,18540,18900,18575050,삼성전자
2011-03-07,18860,18860,18120,18120,31948250,삼성전자
2011-03-08,18220,18240,17880,17980,24964350,삼성전자
2011-03-09,18120,18160,17640,17800,26383650,삼성전자
2011-03-10,17580,17680,17320,17320,41711450,삼성전자
2011-03-11,17220,17520,17200,17240,27158400,삼성전자
2011-03-14,17600,18020,17060,18000,33356050,삼성전자
2011-03-15,18020,18040,17120,17200,36365600,삼성전자
2011-03-16,17700,17900,17440,17720,39957100,삼성전자
2011-03-17,17560,17800,17360,17800,22522950,삼성전자
2011-03-18,17840,17900,17660,17820,19178100,삼성전자
2011-03-21,17820,17980,17680,17800,14507000,삼성전자
2011-03-22,17840,17940,17400,17500,21836100,삼성전자
2011-03-23,17600,17600,17180,17460,25258800,삼성전자
2011-03-24,17600,17760,17480,17600,15405950,삼성전자
2011-03-25,17840,18200,17800,18200,31115550,삼성전자
2011-03-28,18300,18440,18180,18320,15910750,삼성전자
2011-03-29,18140,18320,18000,18320,17231200,삼성전자
2011-03-30,18320,18580,18320,18520,20712850,삼성전자
2011-03-31,18720,18720,18420,18640,26383300,삼성전자
2011-04-01,18720,18800,18540,18800,22486650,삼성전자
2011-04-04,18800,18900,18780,18900,16737450,삼성전자
2011-04-05,18960,18960,18700,18900,11934900,삼성전자
2011-04-06,18800,18840,18300,18460,27518900,삼성전자
2011-04-07,18500,18700,18100,18180,21803800,삼성전자
2011-04-08,18220,18280,17900,17960,26064950,삼성전자
2011-04-11,17960,18140,17760,17880,20631900,삼성전자
2011-04-12,17720,17800,17640,17640,15801800,삼성전자
2011-04-13,17740,18020,17600,18020,16643000,삼성전자
2011-04-14,18000,18000,17680,18000,25281200,삼성전자
2011-04-15,17960,17980,17640,17760,22300400,삼성전자
2011-04-18,17820,17840,17320,17340,27464550,삼성전자
2011-04-19,17060,17500,17060,17500,23115200,삼성전자
2011-04-20,17780,18320,17720,18320,32075950,삼성전자
2011-04-21,18600,18740,18360,18560,27083250,삼성전자
2011-04-22,18480,18540,18040,18080,18861250,삼성전자
2011-04-25,18020,18220,17780,17780,14381050,삼성전자
2011-04-26,17980,17980,17600,17940,19217750,삼성전자
2011-04-27,18340,18540,18220,18480,26405400,삼성전자
2011-04-28,18480,18540,17980,18000,20821350,삼성전자
2011-04-29,18020,18160,17600,17860,21493700,삼성전자
2011-05-02,18200,18740,18080,18640,32586300,삼성전자
2011-05-03,18720,18800,18440,18760,25375500,삼성전자
2011-05-04,18600,18680,18000,18300,25785850,삼성전자
2011-05-06,17980,18280,17900,17980,23661100,삼성전자
2011-05-09,18160,18220,17820,17820,13578650,삼성전자
2011-05-11,17780,17900,17640,17840,22396600,삼성전자
2011-05-12,17720,18020,17660,17700,27647100,삼성전자
2011-05-13,17920,18480,17800,18320,33457700,삼성전자
2011-05-16,18340,18380,17960,18020,16145250,삼성전자
2011-05-17,17940,17960,17780,17800,11564650,삼성전자
2011-05-18,17860,17980,17720,17860,16591200,삼성전자
2011-05-19,17820,17960,17600,17600,19386650,삼성전자
2011-05-20,17700,17740,17600,17640,11075850,삼성전자
2011-05-23,17540,17700,17440,17460,14102250,삼성전자
2011-05-24,17440,17680,17300,17300,14509050,삼성전자
2011-05-25,17580,17580,17060,17120,16047250,삼성전자
2011-05-26,17360,17600,17300,17580,13987000,삼성전자
2011-05-27,17480,17980,17340,17820,21514800,삼성전자
2011-05-30,17900,17900,17520,17680,10298950,삼성전자
2011-05-31,17800,18280,17720,18040,23904450,삼성전자
2011-06-01,18040,18240,17900,18220,15691600,삼성전자
2011-06-02,17880,17940,17600,17660,16594950,삼성전자
2011-06-03,17800,17800,17540,17700,10073600,삼성전자
2011-06-07,17520,17780,17380,17740,15179300,삼성전자
2011-06-08,17700,17800,17500,17540,12943650,삼성전자
2011-06-09,17540,17580,17300,17300,21705950,삼성전자
2011-06-10,17400,17480,17020,17020,19628750,삼성전자
2011-06-13,16880,17060,16760,17060,15069350,삼성전자
2011-06-14,17020,17460,16960,17260,10670950,삼성전자
2011-06-15,17320,17380,17020,17300,13287900,삼성전자
2011-06-16,17060,17160,16880,16960,11955800,삼성전자
2011-06-17,17020,17040,16060,16380,36151350,삼성전자
2011-06-20,16260,16280,15900,16000,23619300,삼성전자
2011-06-21,16000,16400,15960,16280,18918700,삼성전자
2011-06-22,16480,16660,16440,16520,16541050,삼성전자
2011-06-23,16500,16780,16400,16620,13869550,삼성전자
2011-06-24,16420,17080,16420,17040,23461150,삼성전자
2011-06-27,16940,16940,16560,16700,15212850,삼성전자
2011-06-28,16800,17060,16620,16640,11958900,삼성전자
2011-06-29,16960,16980,16640,16660,10357300,삼성전자
2011-06-30,16660,16700,16420,16520,16416950,삼성전자
2011-07-01,16860,17200,16760,17100,22145900,삼성전자
2011-07-04,17400,17660,17380,17560,21471650,삼성전자
2011-07-05,17600,17980,17560,17980,21113100,삼성전자
2011-07-06,17860,17960,17740,17960,11236100,삼성전자
2011-07-07,17960,17960,17580,17600,17927850,삼성전자
2011-07-08,17600,17760,17460,17700,12090450,삼성전자
2011-07-11,17600,17600,17240,17300,16000950,삼성전자
2011-07-12,17200,17220,16920,17000,12407200,삼성전자
2011-07-13,16960,17100,16720,16860,16467850,삼성전자
2011-07-14,16700,16700,16460,16620,20395900,삼성전자
2011-07-15,16600,16800,16420,16640,13675450,삼성전자
2011-07-18,16560,16600,16220,16260,18236900,삼성전자
2011-07-19,16120,16540,16120,16440,14558350,삼성전자
2011-07-20,16800,17080,16780,17020,21094100,삼성전자
2011-07-21,16920,17020,16640,16840,10346850,삼성전자
2011-07-22,17000,17120,16840,17000,12225850,삼성전자
2011-07-25,17000,17000,16680,16940,9501250,삼성전자
2011-07-26,16860,17020,16800,17000,11270400,삼성전자
2011-07-27,16960,16960,16720,16900,10099650,삼성전자
2011-07-28,16560,16800,16520,16740,13644500,삼성전자
2011-07-29,16920,17040,16740,16880,15100800,삼성전자
2011-08-01,17100,17500,17100,17400,19451200,삼성전자
2011-08-02,17060,17180,17000,17040,13490800,삼성전자
2011-08-03,16800,16880,16480,16660,20423250,삼성전자
2011-08-04,16780,16780,16300,16420,17324800,삼성전자
2011-08-05,15840,16100,15780,15780,30454050,삼성전자
2011-08-08,15400,15780,15200,15200,30375900,삼성전자
2011-08-09,15000,15060,13920,14480,49502000,삼성전자
2011-08-10,15200,15200,14400,14400,49327850,삼성전자
2011-08-11,13760,14500,13760,14160,39741600,삼성전자
2011-08-12,14420,14440,14000,14140,33891400,삼성전자
2011-08-16,14700,15000,14520,15000,30081100,삼성전자
2011-08-17,15020,15200,14820,15040,14670250,삼성전자
2011-08-18,14960,14980,14060,14180,35425150,삼성전자
2011-08-19,13760,13940,13440,13600,29035650,삼성전자
2011-08-22,13680,14040,13660,13820,20947600,삼성전자
2011-08-23,14000,14700,13980,14460,24645650,삼성전자
2011-08-24,14480,14700,14000,14160,18520150,삼성전자
2011-08-25,14740,14760,14420,14500,19056750,삼성전자
2011-08-26,14340,14680,14340,14520,10640750,삼성전자
2011-08-29,14840,14840,14480,14660,13022000,삼성전자
2011-08-30,14820,14960,14720,14840,12648200,삼성전자
2011-08-31,14940,14940,14620,14880,14511450,삼성전자
2011-09-01,15180,15760,14880,15420,35870550,삼성전자
2011-09-02,15300,15620,15260,15380,12934100,삼성전자
2011-09-05,15100,15120,14600,14620,13874400,삼성전자
2011-09-06,14520,14720,14200,14540,13225250,삼성전자
2011-09-07,14660,15560,14660,15460,17575200,삼성전자
2011-09-08,15600,16040,15560,15960,28745700,삼성전자
2011-09-09,15700,16240,15540,15600,18090100,삼성전자
2011-09-14,15600,15620,14820,15060,27555050,삼성전자
2011-09-15,15680,15680,15300,15420,21329650,삼성전자
2011-09-16,15880,16220,15840,15960,23831600,삼성전자
2011-09-19,16000,16280,15760,16160,12346000,삼성전자
2011-09-20,16220,16360,15920,16220,14050700,삼성전자
2011-09-21,16380,16560,16020,16260,17078150,삼성전자
2011-09-22,15920,16000,15560,15800,15350400,삼성전자
2011-09-23,15280,15600,15020,15160,21856150,삼성전자
2011-09-26,15200,15740,15180,15500,24045350,삼성전자
2011-09-27,16100,16100,15820,16080,16580000,삼성전자
2011-09-28,16480,16500,15820,16140,24327550,삼성전자
2011-09-29,16080,16960,16080,16740,27699050,삼성전자
2011-09-30,16600,16800,16220,16800,25801150,삼성전자
2011-10-04,16100,16640,15920,16560,32930800,삼성전자
2011-10-05,16480,17000,16340,16840,32201800,삼성전자
2011-10-06,17480,17580,16840,17100,30008000,삼성전자
2011-10-07,17300,17620,17000,17200,26521150,삼성전자
2011-10-10,17560,17700,17440,17480,17265800,삼성전자
2011-10-11,17700,17700,17380,17620,22951550,삼성전자
2011-10-12,17440,17980,17400,17960,21630000,삼성전자
2011-10-13,17960,17980,17620,17800,16278150,삼성전자
2011-10-14,17420,17880,17420,17720,10865950,삼성전자
2011-10-17,17800,17900,17620,17800,10685000,삼성전자
2011-10-18,17500,17860,17420,17660,13850600,삼성전자
2011-10-19,17700,17720,17400,17720,10712700,삼성전자
2011-10-20,17720,18400,17660,18140,28459600,삼성전자
2011-10-21,18400,18500,18140,18340,23321450,삼성전자
2011-10-24,18260,18860,18220,18820,18810700,삼성전자
2011-10-25,18720,19020,18700,18900,18286850,삼성전자
2011-10-26,18660,18920,18540,18680,12518000,삼성전자
2011-10-27,18580,18780,18380,18480,17473750,삼성전자
2011-10-28,18560,18920,18540,18900,26899600,삼성전자
2011-10-31,18820,19400,18660,19360,23810850,삼성전자
2011-11-01,19360,19980,19240,19800,31004700,삼성전자
2011-11-02,19400,19560,19320,19420,28481800,삼성전자
2011-11-03,19240,19420,19160,19340,16439100,삼성전자
2011-11-04,19660,20100,19640,20100,26756950,삼성전자
2011-11-07,19920,20000,19720,19860,14029300,삼성전자
2011-11-08,19720,19800,19300,19400,17079200,삼성전자
2011-11-09,19400,19760,19320,19700,19318600,삼성전자
2011-11-10,19340,19460,18700,18700,31210900,삼성전자
2011-11-11,18900,19680,18600,19660,24328800,삼성전자
2011-11-14,19760,20040,19740,19920,14149450,삼성전자
2011-11-15,19720,20000,19600,19920,11741900,삼성전자
2011-11-16,19900,20060,19460,19500,16963350,삼성전자
2011-11-17,19640,19840,19220,19600,12972250,삼성전자
2011-11-18,19420,19540,19240,19260,16333500,삼성전자
2011-11-21,19020,19200,18840,19000,12847100,삼성전자
2011-11-22,19000,19420,18860,19260,12091450,삼성전자
2011-11-23,18960,19200,18700,18700,15352150,삼성전자
2011-11-24,18440,19060,18420,18860,13684000,삼성전자
2011-11-25,18580,19060,18580,18940,11698100,삼성전자
2011-11-28,19180,19640,19160,19560,15797000,삼성전자
2011-11-29,19800,20100,19720,20100,27625150,삼성전자
2011-11-30,20000,20200,19920,20080,19721150,삼성전자
2011-12-01,20700,21600,20580,21480,34731400,삼성전자
2011-12-02,21220,21420,20800,21000,21969400,삼성전자
2011-12-05,21380,21460,21160,21320,14875050,삼성전자
